Produto;Descrição;Preço;Quantidade;Email_Fornecedor;Fornecedor
CadeiraGaming;Cadeira gamer ergonómica;159,99€;12;vendas@@gamingstore.com;GamingStore
RatoSemFios;Rato sem fios com alta precisão;29.99€;30;suporte@techteam.pt;TechTeam
TecladoRGB;Teclado mecânico com retroiluminação RGB;75,50€;20;contacto@techteam.pt;TechTeam
Monitor4K;Monitor LED 28'' 4K;399,99;5;vendas@distribuidoravisao.com;DistribuidoraVisao
MesaEscritorio;Mesa de escritório ajustável;249,99€;8;info@officeplus.com;OfficePlus
LâmpadaLED;Lâmpada LED Inteligente 9W;19.9€;50;comercial@smartlights.pt;SmartLights
ComputadorPortatil;Computador portátil 15'' i7;999,00€;3;vendas@gamingstore.com;GamingStore
HeadsetGamer;Headset gamer com som surround 7.1;89,00€;10;suporte@techteam.pt;TechTeam
TapeteRato;Tapete de rato XXL para gaming;19,50€;40;vendas@gamingstore.com;GamingStore
CadeiraEscritorio;Cadeira de escritório ergonómica;129,50€;15;info@officeplus.com;OfficePlus
TecladoMecânico;Teclado mecânico com teclas programáveis;85.50€;10;vendas@distribuidoravisao.com;DistribuidoraVisao
MonitorGaming;Monitor 27'' Curvo 144Hz;329,99€;7;vendas@gamingstore.com;GamingStore
MesaGamer;Mesa gaming com LEDs;220€;5;info@officeplus.com;OfficePlus
CadeiraGaming;Cadeira gamer ergonómica;159,99€;12;vendas@gamingstore.com;GamingStore
RatoSemFios;Rato sem fios com alta precisão;29.99€;30;suporte@techteam.pt;TechTeam
TecladoRGB;Teclado mecânico com retroiluminação RGB;75,50€;20;contacto@techteam.pt;TechTeam
